Address,Rank,Size,Symbol,Tag
0x00105150,U,000020,nngxSetCmdlistCallback,
0x00105168,U,000060,nngxSetCmdlistParameteri,
0x001051A8,U,000068,nngxSetDisplayMode,
0x001051F0,U,000020,_ZN2nn2os6detail27InitializeThreadEnvrionmentEv,
0x00105204,U,000012,_fp_init,gdef
0x00105210,U,000032,_ZN2nn2os6Thread21CallDestructorAndExitEPv,
0x0010523C,U,000004,_ZN2nn2os3CTR43_GLOBAL__N__19_os_CppException_cpp_0201818f24DefaultUnexpectedHandlerEv,
0x00105240,U,000048,_ZSt9terminatev,
0x00105274,U,000224,_ZN16alByamlLocalUtil11verifiByamlEPKh,
0x00105354,U,000092,_ZN2al12ArchiveEntryC2Ev,
0x001053BC,U,000052,_ZN2al14SoundItemEntryC2Ev,
0x001053F8,U,000040,,
0x00105420,U,000112,_ZN2al8ResourceC1ERKN4sead14SafeStringBaseIcEE,
0x00105494,U,000036,_ZN2nn2fs3CTR6MPCore6detail14UserFileSystem10InitializeENS_6HandleE,
0x001054BC,U,000420,_ZN2nn2fs3CTR6MPCore6detail7OpenRomEPPNS3_8IArchiveEjjPvjb,
0x00105670,U,000012,_ZN2nn2fs6detail28RegisterGlobalFileSystemBaseERNS1_14FileSystemBaseE,
0x00105680,U,000012,_ZN2nn2gr3CTR6Vertex9AttrConstC2Ev,
0x0010568C,U,000012,_ZN2nn2gr3CTR6Vertex9LoadArrayC2Ev,
0x00105698,U,000004,_ZN2nn2gr3CTR8Combiner5StageC2Ev,
0x0010569C,U,000068,_ZN2nn3cfg3CTR6detail9GetConfigEPvjj,
0x001056E8,U,000164,_ZN2nn3dsp3CTR5AwakeEv,
0x00105798,U,000084,_ZN2nn3srv6detail7Service16GetServiceHandleEPNS_6HandleEPKcij,
0x001057F4,U,000052,_ZN2nn5gxlow3CTR15AcquireGpuRightEv,
0x00105830,U,000036,_ZN2nn5gxlow3CTR18RestoreVramSysAreaEv,
0x00105858,U,000012,_ZN2nn6applet3CTR24IsToCallShutdownCallbackEv,
0x00105868,U,000016,_ZN2nn6applet3CTR25ClearShutdownCallbackFlagEv,
0x0010587C,U,000012,_ZN2nn6applet3CTR27IsToCallPowerButtonCallbackEv,
0x0010588C,U,000236,_ZN2nn6applet3CTR27ProcessSleepAcceptedCommandEv,
0x00105980,U,000016,_ZN2nn6applet3CTR28ClearPowerButtonCallbackFlagEv,
0x00105994,U,000016,_ZN2nn6applet3CTR6detail18ClearSleepSysStateEv,
0x001059A8,U,000016,_ZN2nn6applet3CTR6detail28ClearAbsoluteHomeButtonStateEv,
0x001059BC,U,000048,_ZN2nn6applet3CTR6detail6APPLET12NotifyToWaitEj,
0x001059F4,U,000052,_ZN2nn6applet3CTR6detail6APPLET19CancelLibraryAppletEb,
0x00105A30,U,000192,_ZN2nn6applet3CTR6detail6GlanceEPjS3_PhjPiPNS_6HandleE,
0x00105AF8,U,000068,_ZN2nn6applet3CTR6detail17AssignCameraRightEb,
0x00105B44,U,000444,_ZN4sead14DualScreenTaskC2ERKNS_16TaskConstructArgEPKc,
0x00105D0C,U,000216,_ZN4sead15GraphicsContextC1Ev,
0x00105DF0,U,000036,_ZN4sead5Arena10initializeEm,
0x00105E18,U,000112,_ZN4sead6Random4initEv,
0x00105E8C,U,000044,_ZN4sead8GraphicsC2Ev,
0x00105EBC,U,000364,_ZN4sead9FrameHeap9tryCreateEmRKNS_14SafeStringBaseIcEEPNS_4HeapEiNS5_13HeapDirectionEb,
0x00106030,U,000004,_ZN4sead9ThreadMgr10initializeEPNS_4HeapE,
0x00106034,U,000280,_ZN4sead9ThreadMgr15initMainThread_EPNS_4HeapE,
0x00106160,U,000052,_ZN4sead9ThreadMgrC2Ev,
0x00106198,U,000036,,
