Start,     Pool,      End,       Section,   Rank,Type,Symbol
0x002E0634,          ,0x002E068C,          ,U,f,
0x002E068C,0x002E07F4,0x002E0808,          ,U,f,
0x002E0808,0x002E08BC,0x002E08C4,          ,U,f,
0x002E08C4,          ,0x002E0920,          ,U,f,
0x002E0920,          ,0x002E097C,          ,U,f,
0x002E097C,0x002E09AC,0x002E09B0,          ,U,f,
0x002E09B0,0x002E0A3C,0x002E0A44,          ,U,f,_ZN4sead19PrimitiveDrawMgrCtr12drawQuadImplERKNS_8Matrix34IfEERKNS_7Color4fES7_
0x002E0A44,0x002E0B90,0x002E0BAC,          ,U,f,
0x002E0BAC,          ,0x002E0BBC,          ,U,f,
0x002E0BBC,0x002E0CC4,0x002E0CD4,          ,U,f,_ZN4sead19PrimitiveDrawMgrCtr15loadLineVertex_EPNS_4HeapE
0x002E0CD4,0x002E0D04,0x002E0D08,          ,U,f,
0x002E0D08,          ,0x002E0D2C,          ,U,f,
0x002E0D2C,0x002E1124,0x002E1544,          ,U,f,
0x002E1544,0x002E15FC,0x002E1608,          ,U,f,
0x002E1608,          ,0x002E1630,          ,U,f,
0x002E1630,          ,0x002E1674,          ,U,f,
0x002E1674,          ,0x002E167C,          ,U,f,
0x002E167C,0x002E16B0,0x002E16B4,          ,U,f,
0x002E16B4,          ,0x002E16BC,          ,U,f,
0x002E16BC,0x002E170C,0x002E1710,          ,U,f,
0x002E1710,          ,0x002E1724,          ,U,f,
0x002E1724,          ,0x002E1728,          ,U,f,
0x002E1728,0x002E180C,0x002E181C,          ,U,f,
0x002E181C,0x002E1860,0x002E1868,          ,U,f,
0x002E1868,0x002E1A60,0x002E1A88,          ,U,f,
0x002E1A88,0x002E1B90,0x002E1BA0,          ,U,f,_ZN4sead17PrimitiveDrawUtil13setDiskVertexEPNS0_6VertexEPti
0x002E1BA0,0x002E1CDC,0x002E1CF8,          ,U,f,
0x002E1CF8,0x002E2024,0x002E203C,          ,U,f,_ZN4sead17PrimitiveDrawUtil15setSphereVertexEPNS0_6VertexEPtii
0x002E203C,0x002E2260,0x002E2274,          ,U,f,_ZN4sead17PrimitiveDrawUtil17setCylinderVertexEPNS0_6VertexEPti
0x002E2274,0x002E22A0,0x002E22A8,          ,U,f,
